Name,Count,TotalLP,Highscore,HighscoreDate,HighscoreCount,Lowscore,LowscoreDate,LowscoreCount,Deltascore,DeltascoreDate,DeltascoreCount,TournamentWins
kawi_tm,1,0,12,14.09.19 23:11,1,12,14.09.19 23:11,1,100000,02.10.19 15:17,0,0
xdmonty,4,17683,22488,25.09.19 14:25,2,3299,15.09.19 03:39,1,100000,02.10.19 15:17,0,0
dilive_tm,3,97882,97882,07.10.19 19:11,3,1517,15.09.19 04:49,1,100000,02.10.19 15:17,0,0
imnot_a_cow,3,0,78107,23.09.19 18:40,3,281,23.09.19 18:15,2,42136,23.09.19 18:40,2,0
amaterasutm,1,0,143,18.09.19 12:39,1,143,18.09.19 12:39,1,100000,02.10.19 15:17,0,0
brammmie11,1,0,57622,18.09.19 12:43,1,57622,18.09.19 12:43,1,100000,02.10.19 15:17,0,0
gartenimperator123,1,0,4093,18.09.19 12:51,1,4093,18.09.19 12:51,1,100000,02.10.19 15:17,0,0
bradarmpitts,1,0,7325,18.09.19 12:52,1,7325,18.09.19 12:52,1,100000,02.10.19 15:17,0,0
egokentrikosarouraios,3,0,52899,23.09.19 16:30,1,10729,23.09.19 18:19,3,100000,02.10.19 15:17,0,0
anebomba,4,50136,54546,23.09.19 17:13,1,3413,07.10.19 18:25,3,100000,02.10.19 15:17,0,0
egokentrikosarouraios,3,0,97102,23.09.19 17:19,1,10729,23.09.19 18:19,3,100000,02.10.19 15:17,0,0
div_,4,0,76974,26.09.19 20:41,4,5601,23.09.19 18:29,1,100000,02.10.19 15:17,0,0
l0gicbeard,1,0,12794,25.09.19 14:08,1,12794,25.09.19 14:08,1,100000,02.10.19 15:17,0,0
deliriumtm,1,0,80302,25.09.19 14:42,1,80302,25.09.19 14:42,1,100000,02.10.19 15:17,0,0
98kornelius_,81,397852,98823,27.09.19 14:19,44,167,26.09.19 17:16,30,784,26.09.19 15:26,14,0
natz_tm,19,22261,98815,26.09.19 17:11,4,749,26.09.19 15:19,1,2490,27.09.19 15:49,7,0
woichal,1,0,2782,26.09.19 17:09,1,2782,26.09.19 17:09,1,100000,02.10.19 15:17,0,0
rtk16,2,13525,13525,07.10.19 18:25,2,8916,26.09.19 17:53,1,100000,02.10.19 15:17,0,0
enysado_,1,0,33548,26.09.19 17:59,1,33548,26.09.19 17:59,1,100000,02.10.19 15:17,0,0
petas_,1,0,7646,26.09.19 18:53,1,7646,26.09.19 18:53,1,100000,02.10.19 15:17,0,0
nis0_0,1,0,39397,26.09.19 19:23,1,39397,26.09.19 19:23,1,100000,02.10.19 15:17,0,0
jonibravo0o,2,0,62965,26.09.19 20:51,1,36166,26.09.19 20:53,2,100000,02.10.19 15:17,0,0
biwegas,7,0,88375,27.09.19 14:25,2,6548,27.09.19 15:50,5,83451,27.09.19 15:50,1,0
loumar_,1,0,45767,27.09.19 15:13,1,45767,27.09.19 15:13,1,100000,02.10.19 15:17,0,0
bast7mon_,1,0,49396,27.09.19 15:24,1,49396,27.09.19 15:24,1,100000,02.10.19 15:17,0,0
erizel19,2,0,28221,27.09.19 16:40,2,7905,27.09.19 16:39,1,100000,02.10.19 15:17,0,0
codiac300,1,0,72821,29.09.19 18:02,1,72821,29.09.19 18:02,1,100000,02.10.19 15:17,0,0
poke_tmn,1,0,21112,30.09.19 19:27,1,21112,30.09.19 19:27,1,100000,02.10.19 15:17,0,0
valplaytm,1,0,743,02.10.19 14:46,1,743,02.10.19 14:46,1,100000,02.10.19 15:17,0,0
dbergie,2,0,17592,02.10.19 14:55,1,12190,02.10.19 14:56,2,100000,02.10.19 15:17,0,0
rollingdank420,1,28566,28566,07.10.19 19:01,1,28566,07.10.19 19:01,1,100000,07.10.19 19:01,0,0
tristan_cam,2,35758,21555,07.10.19 20:20,2,14203,07.10.19 20:12,1,100000,07.10.19 20:12,0,0
